📄 MANIFEST UPDATE - INTISARICLIPS-DEV
📅 Tanggal Build  : 2026-04-01 03:07:46
======================================================================
NAMA FILE                                     | VERSI SAAT INI
----------------------------------------------------------------------
✅ config.py                                   | 1.5 (Fix: Update Whisper ZIP URL)
✅ main.py                                     | 1.27 (Feat: Cermin Ganda Terminal DEV & WebSocket UI)
✅ manifest.txt                                | File Statis / Resource
✅ core/downloader.py                          | 4.18 (Fix: GitHub Anti-Bot Bypass with User-Agent & Safe Threads)
✅ core/engine.py                              | 2.7 (Fix: Menambal kebocoran terminal pada ffprobe get_duration)
✅ core/license.py                             | 2.5
✅ core/updater.py                             | 3.5 (True Delta Sync - TXT Manifest Parser)
✅ core/__init__.py                            | 1.0
✅ core/services/content_analysis.py           | 1.0
✅ core/services/face_engine.py                | 3.1 (Fix: Robust HaarCascade Path Resolution for Compiled Environment)
✅ core/services/transcription.py              | 1.3 (Fix: Dynamic Pathing sys._MEIPASS & Whisper ZIP Extraction)
✅ core/services/__init__.py                   | 1.0
✅ core/subtitle/generator.py                  | 1.2
✅ core/subtitle/__init__.py                   | 1.0
✅ core/subtitle/styles/beasty.py              | 1.0
✅ core/subtitle/styles/__init__.py            | 1.0
✅ utils/helpers.py                            | 1.1
✅ utils/__init__.py                           | 1.0
✅ web/static/css/input.css                    | 1.0
✅ web/static/css/style.css                    | 1.0
✅ web/static/js/app.js                        | 3.9 (Feat: Auto-Updater Logic & Terminal Sync)
✅ web/templates/base.html                     | Versi Tidak Ditulis
✅ web/templates/index.html                    | Versi Tidak Ditulis
✅ web/templates/pages/01_welcome.html         | 1.7 (UI: Improved Typography)
✅ web/templates/pages/02_dashboard.html       | 2.0
✅ web/templates/pages/03_studio.html          | 4.1 (Fix: Version Badge Layout Overlap)
✅ web/templates/pages/04_presets.html         | 1.5 (Fix: UI Header Overlap)
✅ web/templates/pages/05_sosmed.html          | 4.1 (Live Tracker)
✅ web/templates/pages/06_clipper.html         | 5.3 (Feat: Global Preset Toggle Added)
✅ web/templates/pages/07_hook.html            | 2.5
✅ web/templates/pages/08_history.html         | 2.1 (Fix: Layout Overlap)
✅ web/templates/pages/09_settings.html        | 2.3 (Feat: System Update UI & Terminal Log Viewer Added)
======================================================================
